Gamma ->,V0_ur,V1_ur,V2_ur,V3_ur,V4_ur,V5_ur,V6_ur,V7_ur,V0_sse,V1_sse,V2_sse,V3_sse,V4_sse,V5_sse,V6_sse,V7_sse
0.5,0.049951171875,0.04541015625000001,0.05,0.025000000000000005,-2.6692307692307695,0.016666666666666666,0.016666666666666666,0.025,0.09990234375000001,10.151035211276808,0.05000000377069386,0.213114754098337,0.05000000000000002,0.0500079213398196,0.0500079213398196,0.05
0.55,0.05541483602104493,0.0503771236554954,0.05,0.025000000000000005,-2.6692307692307695,0.016666666666666666,0.016666666666666666,0.025,0.11082967204208985,11.375692278039896,0.05000000377069386,0.213114754098337,0.05000000000000002,0.0500079213398196,0.0500079213398196,0.05
0.6,0.0621220864,0.05647462400000001,0.05,0.025000000000000005,-2.6692307692307695,0.016666666666666666,0.016666666666666666,0.025,0.1242441728,12.465383191229748,0.05000000377069386,0.213114754098337,0.05000000000000002,0.0500079213398196,0.0500079213398196,0.05
0.65,0.07046694690395508,0.06406086082177735,0.05,0.025000000000000005,-2.6692307692307695,0.016666666666666666,0.016666666666666666,0.025,0.14093389380791016,12.99016653122128,0.05000000377069386,0.213114754098337,0.05000000000000002,0.0500079213398196,0.0500079213398196,0.05
0.7,0.08097937292499999,1.0786816126818892,0.05,0.025000000000000005,-2.6692307692307695,0.016666666666666666,0.016666666666666666,0.025,0.16195874584999997,13.557374991391605,0.05000000377069386,0.213114754098337,0.05000000000000002,0.0500079213398196,0.0500079213398196,0.05
0.75,0.09436864852905272,1.0664984990502622,0.05,0.025000000000000005,-2.6692307692307695,0.016666666666666666,0.016666666666666666,0.025,0.18873729705810544,14.174763487336644,0.05000000377069386,0.213114754098337,0.05000000000000002,0.0500079213398196,0.0500079213398196,0.05
0.8,0.11157822720000002,1.0457164189424897,0.05,0.025000000000000005,-2.6692307692307695,0.016666666666666666,0.016666666666666666,0.025,0.22315645440000004,14.849389332919959,0.05000000377069386,0.213114754098337,0.05000000000000002,0.0500079213398196,0.0500079213398196,0.05
0.85,0.1338542659432129,1.013458635368845,0.05,0.025000000000000005,-2.6692307692307695,0.016666666666666666,0.016666666666666666,0.025,0.26770853188642574,15.532624925376377,0.05000000377069386,0.213114754098337,0.05000000000000002,0.0500079213398196,0.0500079213398196,0.05
0.9,0.16283038997500002,0.9846198751957598,0.05,0.025000000000000005,-2.6692307692307695,0.016666666666666666,0.016666666666666666,0.025,0.3256607799499999,16.13678857044008,0.05000000377069386,0.213114754098337,0.05000000000000002,0.0500079213398196,0.0500079213398196,0.05
0.95,0.2006315303808105,0.9451122772658418,0.05,0.025000000000000005,-2.6692307692307695,0.016666666666666666,0.016666666666666666,0.025,0.4012630607616209,16.79493065643302,0.05000000377069386,0.213114754098337,0.05000000000000002,0.0500079213398196,0.0500079213398196,0.05